Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Lat,Long
12423,DBRT NDLS RAJDHANI,RANGIYA JN,RNY,28,NR,26.447901,91.605929
12423,DBRT NDLS RAJDHANI,NEW BONGAIGAON,NBQ,28,NR,26.4758354405,90.5368434644
12423,DBRT NDLS RAJDHANI,KOKRAJHAR,KOJ,35,NR,26.405057,90.274125
12423,DBRT NDLS RAJDHANI,NEW COOCH BEHAR,NCB,41,NR,26.353159,89.469766
12423,DBRT NDLS RAJDHANI,NEW JALPAIGURI,NJP,24,NR,26.683025,88.443391
12423,DBRT NDLS RAJDHANI,KISHANGANJ,KNE,28,NR,26.097746,87.949657
12423,DBRT NDLS RAJDHANI,KATIHAR JN,KIR,32,NR,25.548947,87.566409
12423,DBRT NDLS RAJDHANI,NAUGACHIA,NNA,35,NR,25.385261,87.09387
12423,DBRT NDLS RAJDHANI,MANSI JN,MNE,37,NR,25.509398,86.554446
12423,DBRT NDLS RAJDHANI,BARAUNI JN,BJU,42,NR,25.461768,85.988748
12423,DBRT NDLS RAJDHANI,PATLIPUTRA,PPTA,31,NR,25.621426,85.068505
12423,DBRT NDLS RAJDHANI,DANAPUR,DNR,37,NR,25.581921,85.044629
12423,DBRT NDLS RAJDHANI,PT DEEN DAYAL UPADHYAY JN,DDU,34,NR,,
12423,DBRT NDLS RAJDHANI,PRAYAGRAJ JN,PRYJ,53,NR,,
12423,DBRT NDLS RAJDHANI,KANPUR CENTRAL,CNB,57,NR,26.45424,80.350966
12423,DBRT NDLS RAJDHANI,NEW DELHI,NDLS,46,NR,28.642314,77.220004
12424,DBRT RAJDHANI,NEW DELHI,NDLS,9,NR,28.642314,77.220004
12424,DBRT RAJDHANI,KANPUR CENTRAL,CNB,35,NR,26.45424,80.350966
12424,DBRT RAJDHANI,PRAYAGRAJ JN,PRYJ,75,NR,,
12424,DBRT RAJDHANI,PT DEEN DAYAL UPADHYAY JN,DDU,101,NR,,
12424,DBRT RAJDHANI,DANAPUR,DNR,129,NR,25.581921,85.044629
