Station Name,Rating,Number of Reviews
Dagaon Railway Station,4.3,14
Senchowa Rail Station,3.3,14
Samaguri Railway Station,3.9,8
Tezpur Railway Station,4.1,17
Silchar Railway Station,3.8,2488
Aurnachal Railway Station,3.4,24
New Silchar Railway Station,5.0,1
Salchapra Railway Station,3.7,115
Ranigaon Railway Station,3.0,3
Panchgram Railway Station,3.7,103
Sreebar Railway Station,4.0,2
Badarpur Railway Station,3.9,6040
Hailakandi Railway Station,4.0,114
Rupsibari Railway Station,4.1,7
Doomdooma Railway Station,2.8,10
Barauni Junction,3.9,2837
Barauni Jn,3.7,685
Begu Sarai,4.1,187
Barauni Railway Station,4.0,126
Rajender Pul Railway Station,4.1,108
Sabdalpur Railway Station,4.1,83
Garhara Railway Station,3.5,80
Begusarai Railway Station,4.0,51
Umeshnagar Railway Station,3.6,47
Singhaul Halt Railway Station,3.5,41
Bettiah Railway Station,4.2,564
Sikta Railway Station,5.0,1
Narkatiaganj Railway Station,4.1,708
Harinagar Railway Station,4.0,81
Bagaha Railway Station,3.7,514
Sagauli Railway Station,3.8,1355
Tariasujan Railway Station,4.2,19
Tamkuhi Road Railway Station,3.9,696
Kangali Halt Railway Station,3.5,8
Semra Railway Station,4.1,49
Bhagalpur Railway Station,4.1,2741
Sabour Railway Station,3.8,1398
Kahalgaon Station,3.8,1219
Pirpainti Railway Station,3.7,1171
Thana Bihpur Junction,3.9,177
Lailakh Mamalkha Railway Station,3.4,5
Pasraha Railway Station,3.7,1111
Naugachia,3.5,4
Mahesh Khunt Railway Station,3.9,623
Bihar Sharif Railway Station,3.8,655
Pawapuri Road Railway Station,3.9,96
Sohsarai Railway Station,3.7,33
Dekpura Junction,3.8,16
Murhari Halt,3.6,24
Badhauna Halt Railway Station,3.9,4
Rajnagar Railway Station,3.6,168
Lachhubigha Halt Railway Station,3.9,29
Ekangarsarai Railway Station,3.7,151
Kusumbha Halt Railway Station,3.5,32
Chausa Railway Station,3.6,168
Buxar Railway Station,4.3,60
Bhojpur Railway Station,3.0,11
Karimuddinpur Railway Station,3.8,78
Tajpur Dehma Railway Station,3.9,131
Yusufpur Railway Station,5.0,1
Phephna Railway Station,4.0,151
Ballia Railway Station,4.1,14487
Usia Khas Halt Railway Station,4.1,109
Shahbaz Kuli,4.2,49
Chhapra Junction,3.8,14584
Chhapra Kachahri Railway Station,3.8,543
Teknewas,3.6,44
Chapra Gramin Junction,3.6,519
Kopa Samhota Railway Station,3.5,99
Ambika Bhawani Railway Station,3.7,27
SUDHA CORNER,3.9,1073
Terha Halt,3.9,25
Sham Kauria Railway Station,3.9,110
Darbhanga Junction,4.1,3755
Laheriasarai Railway Satation,3.8,1368
Haiaghat railway Station,3.9,236
Kamtaul Railway Station,4.0,118
Muria Railway Station,3.5,49
Sakri Railway Station,4.0,452
Madhubani Railway Station,4.3,7454
Mandan Mishra Railway Station,4.3,33
Badhauna Railway Station,3.9,53
Fateha Railway Station,3.8,24
Gaya Station,4.0,14274
Guraru Railway Station,4.0,290
Manpur Junction,3.6,193
Kolhana Halt Railway Station,3.6,7
Sarsu Halt Railway Station,3.6,6
Ore Halt Railway Station,3.5,6
Barabar Railway Station,4.1,20
Makhdumpur Railway Station,3.7,227
Tehta Railway Station,4.2,168
Narhat Railway Station,4.3,3
Hajipur Junction,4.1,2455
Fatehpur Harauli Railway Station,3.9,183
Sarai Railway Station,3.5,465
Vaishali Railway Station,4.1,7
Rajendra Nagar Railway Station,4.2,73
Bharpura Pahleza Ghat Railway Station,3.6,323
Patna Sahib Railway Station,4.1,7112
Zero Mile Metro Station,3.0,1
Patna Railway Station,4.2,30751
Barh Railway Station,3.8,151
Jamalpur Junction,4.0,2193
Dharhara Railway Station,3.9,979
Munger Railway Station,4.0,58
Khagaria Junction Railway Station,3.9,1373
Olapur Railway Station,3.9,45
Mansi Junction,4.0,429
Barsoi Railway Station,3.8,4686
Katihar Junction,4.1,3388
Karhagola Road Railway Station,4.1,201
Manihari Railway Station,4.1,154
Telta Railway Station,3.5,54
Sanjay Gram Sitalpur,3.8,16
Ranipatra Railway Station,3.9,37
Purnea Railway Station,4.1,815
Purnia Jn,3.7,115
Kumedpur Junction,4.1,222
Ghoghardiha Railway Station,4.0,697
Nemua Halt Railway Station,4.0,58
Tamuria Railway Station,4.3,52
Mithila Deep Railway Station,3.6,53
Rajanagar Railway Station,4.2,33
Laukaha Bazar Railway Station,4.0,32
Jaynagar Railway Station,3.6,27
Bapudham Railway Station,4.1,4139
Ghorasahan Railway Station,4.0,476
Kundwa Chainpur Railway Station,3.9,61
Pachpokharia,3.9,13
Raxaul Railway Station,3.8,3720
Sahebganj Railway Station,3.8,55
Dhang Railway Station,4.2,73
Muzaffarpur Junction,3.9,14516
Dholi Railway Station,4.1,559
Silaut Railway Station,3.7,247
Siho Railway Station,3.9,67
Paramjeevar Tarajeevar Railway Station,3.9,40
Vishnupur Bathua Railway Station,4.0,36
Patliputra Railway Station,4.0,47613
Bakhtiyarpur Railway Station,3.7,9849
Fatuha Junction,3.6,3494
Mokama Railway Station,3.9,1881
Parsa Bazar Railway Station,3.8,1816
Hathidah Junction,3.9,902
Nadaul Railway Station,3.8,418
Athmalgola Raiway Station,3.5,263
Harpatti Halt Railway Station,3.8,32
Dalkhola Railway Station,3.8,76
Arariya Court Railway Station,3.6,130
Surjakamal Railway Station,3.8,15
Saharsa Railway Station,4.0,6539
Saharsa Kachahri Railway Station,4.0,75
Karukhirhar Nagar Halt Railway Station,3.8,50
Nandlali Halt Railway Station,3.0,1
Garh Baruari Railway Station,3.9,56
Madhepura Railway Station,3.8,117
Bina Ekma Halt,4.8,2
Ekma Railway Station,3.7,2529
Supaul Railway Station,4.0,352
Murliganj Railway Station,4.0,150
Samastipur Railway Station,4.2,8059
Dalsinghsarai Railway Station,3.9,878
Dalsingh Sarai,4.1,381
Shahpur Patori Railway Station,4.0,291
Rusera Ghat Railway Station,3.9,291
Belari Railway Station,3.8,180
Angar Ghat Railway Station,3.8,162
Nayanagar Railway Station,4.1,131
Mohiuddinnagar Railway Station,4.0,126
Sasaram Railway Station,4.1,4783
Dehri On Sone Railway Station,3.9,11141
Mani Railway Station,3.7,31
Son Nagar Junction,3.7,112
Kudra Railway Station,4.1,60
Kudra,3.9,200
Ankorha Railway Station,3.8,32
Anugrah Narayan Road Railway Station,4.0,360
Pusauli Railway Station,4.0,10
Deoria Kurhma Naresh Halt,2.7,8
Sitamarhi Railway Station,4.0,1088
Riga Railway Station,3.8,85
Bhisa Halt,3.8,28
Bachharpur Halt,3.8,22
Siwan Junction,4.0,2003
Duraundha Junction,3.8,197
Amlori Sarsar Railway Station,4.4,90
Hathua Junction,3.9,84
Thawe Junction,4.1,1270
Chainwa Railway Station,3.7,169
Mahendranath Railway Station,3.6,43
Sasa Musa Railway Station,3.9,409
Jalalpur Railway Station,4.1,31
Bhatpar Rani Railway Station,3.7,1660
Chandigarh Railway Station,4.3,14625
Sas Nagar Mohali Railway Station,4.3,2164
Chandi Mandir Railway Station,4.1,364
Kurali Railway Station,3.6,324
Kharar Railway Station,4.3,6
Kalka Railway Station,4.2,2413
Gumman,4.1,31
Morinda Junction Railway Station,3.5,618
Rajpura Railway Station,3.8,1839
Kumarhatti Dagshai,4.3,72
Ambikapur Railway Station,4.2,399
Baikunthpur Road Railway Station,3.8,47
Korba Railway Station,3.6,3179
Bijuri Railway Station,3.8,783
Baihatola Railway Station,3.9,33
Kotma Railway Station,3.9,47
Barwadih Railway Station,3.9,129
Robertson Railway Station,3.3,260
Anpara Railway Station,3.4,265
Bhupdeopur Railway Station,3.1,19
Bhilai Power House Railway Station,4.1,2734
Marauda Railway Station,4.1,86
Bhilai Nagar Railway Station,3.9,436
Bhilai G Cabin Railway Station,3.6,16
Durg Railway Station,4.0,9151
Devbaloda Charoda Railway Station,4.4,65
Balod Railway Station,4.1,60
Raipur Railway Station,4.2,12352
R-V Block Hut,3.4,26
Dhamtari Railway Station,3.7,25
Abhanpur Railway Station,3.4,23
Rajnandgaon Railway Station,4.0,288
Motipur Railway Station,2.6,24
Jagdalpur Railway Enquiry,3.7,1045
Kotpar Road Railway Station,3.9,23
Jaipur Railway Station,3.7,1207
Dantewara Railway Station,3.4,71
Koraput Railway Station,4.1,2536
Bacheli Railway Station,4.0,2
Junagarh Railway Station,3.0,2
Bagwada Railway Station,3.5,2
Vapi Railway Station,4.0,40066
Karambeli Railway Station,4.1,19
Bhilad Railway Station,3.6,552
Valsad Railway Station,4.2,11717
Umbergaon Railway Station,4.1,7757
Navsari Railway Station,4.2,11617
Dahanu Road Railway Station,4.2,2907
Vedchha Railway Station,3.7,297
Vangon Railway Station,3.9,858
Una Railway Station,3.7,7
Railway Station,4.0,459
Talala Railway Station,4.2,30
Somnath Railway Station,4.4,1559
Sasan Gir Railway Station,4.4,33
Veraval Junction,4.2,504
Dhari Junction,4.1,83
