longitude,latitude,Station_Code,Total_Score,Station_Name_lower
80.441973,16.300784,GNT,684.08,guntur jn
88.315615,22.555508,SHM,584.58,shalimar
83.568045,25.583144,GCT,635.16,ghazipur city
82.066106,26.263027,SLN,728.26,sultanpur
73.02319,26.283765,JU,927.19,jodhpur jn
73.327309,25.790692,PMY,864.9,pali marwar
78.619225,20.739076,SEGM,742.77,sevagram
79.300505,19.960126,CD,813.5,chandrapur
79.4351,18.763329,RDM,849.86,ramgundam
78.354538,22.753941,PPI,531.25,pipariya
79.214385,22.943112,NU,674.2,narsinghpur
80.400543,23.833385,KTE,864.46,katni
80.763148,24.255485,MYR,681.25,maihar
81.250615,24.537122,REWA,811.93,rewa
79.021502,26.78597,ETW,631.66,etawah
78.233285,27.207747,TDL,686.49,tundla jn
79.135341,12.972734,KPD,705.4,katpadi jn
76.646013,12.318946,MYS,855.5,mysore jn
80.260193,13.077678,MS,798.67,chennai egmore
80.1191573807,12.9260356894,TBM,723.96,tambaram
79.500101,11.942971,VM,744.34,villupuram jn
78.685355,10.794067,TPJ,781.73,tiruchchirapali
77.985472,10.35381,DG,860.04,dindigul jn
78.110314,9.919907,MDU,727.53,madurai jn
77.872848,9.182578,CVP,735.1,kovilpatti
77.707979,8.73636,TEN,800.34,tirunelveli jn
77.44347,8.17385,NCJ,698.94,nagercoil jn
74.844068,12.862325,MAQ,770.32,mangalore cntl
75.921865,10.917757,TIR,776.14,tirur
76.2861,9.991582,ERN,667.02,ernakulam town
76.532168,9.594177,KTYM,649.54,kottayam
76.608271,9.319504,CNGR,644.78,chengannur
77.5993269,12.9936735,BNC,755.76,bangalore cant
77.822839,12.717606,HSRA,627.55,hosur
78.113415,11.671726,SA,770.64,salem jn
77.725934,11.327682,ED,805.81,erode jn
77.341247,11.108906,TUP,743.01,tiruppur
76.966298,10.997639,CBE,766.37,coimbatore jn
77.102439,13.333033,TK,639.8,tumkur
75.92229,14.467834,DVG,778.61,davangere
75.004552,15.440386,DWR,783.22,dharwar
76.897256,12.529176,MYA,590.34,mandya
77.674016,13.000534,KJM,854.49,krishnarajapurm
77.957737,9.596405,VPT,804.61,virudunagar jn
79.989383,14.460592,NLR,830.47,nellore
80.057404,15.498064,OGL,761.47,ongole
80.640413,16.242409,TEL,714.7,tenali jn
79.418968,13.62763,TPTY,838.54,tirupati
78.499756,17.389561,KCG,838.77,kacheguda
77.595312,14.686478,ATP,817.28,anantapur
77.717115,14.424369,DMM,751.28,dharmavaram jn
75.893142,19.830781,J,749.79,jalna
75.310646,19.859276,AWB,606.23,aurangabad
72.975417,19.185757,TNA,701.73,thane
80.138491,17.249347,KMT,831.71,khammam
81.119762,16.717816,EE,817.2,eluru
81.783901,16.984159,RJY,799.86,rajamundry
82.168724,17.044827,SLO,857.93,samalkot jn
83.410505,19.175642,RGDA,698.73,rayagada
83.224709,20.188103,KSNG,493.0,kesinga
83.154382,20.284399,TIG,666.99,titlagarh
85.708234,20.153076,KUR,678.83,khurda road jn
85.200953,19.747366,BALU,646.9,balugan
84.7966912,19.2961348,BAM,663.46,brahmapur
84.422091,18.756782,PSA,825.22,palasa
83.903771,18.408679,CHE,614.25,srikakulam road
86.37787,23.324911,PRR,583.48,purulia jn
77.905897,21.896393,BZU,861.84,betul
74.855553,26.588968,KSG,900.33,kishangarh
75.79828,26.873067,GADJ,915.66,gandhinagar jpr
76.621265,27.559273,AWR,865.9,alwar
76.609414,28.202779,RE,719.06,rewari
76.826966,30.338918,UMB,826.7,ambala cant jn
76.82208,30.7019773,CDG,806.3,chandigarh
73.699632,24.566862,UDZ,905.91,udaipur city
74.6307734,25.3435508,BHL,859.79,bhilwara
75.650699,25.407922,BUDI,714.25,bundi
76.727708,26.468979,GGC,739.72,gangapur city
84.229273,24.882213,SEB,571.24,son nagar
74.4806877,19.7807923,SNSI,864.21,sainagar shirdi
75.417118,18.091348,KWV,705.73,kurduvadi
91.689505,26.156154,KYQ,816.84,kamakhya
77.299196,15.949035,MALM,659.61,manthralayam rd
77.593069,13.102795,YNK,435.46,yelhanka jn
86.465251,25.505891,KGG,658.18,khagaria jn
88.130338,25.015659,MLDT,775.71,malda town
87.9229421,25.6512422,BOE,754.81,barsoi jn
86.9767918,25.2419093,BGP,791.23,bhagalpur
84.662596,25.548889,ARA,641.02,ara
83.982184,25.562067,BXR,886.22,buxar
85.529564,25.45611,BKP,761.17,bakhtiyarpur jn
84.989964,25.224705,JHD,725.27,jehanabad
82.013173,26.752552,SLRP,887.18,salarpur
78.074559,27.889584,ALJN,694.69,aligarh jn
77.31521255,28.6505035654,ANVT,870.21,anand vihar trm
74.935736,32.982814,SVDK,868.19,mata vaishno devi katra
77.675106,28.97761,MTC,792.02,meerut city
77.707807,29.468689,MOZ,738.72,muzaffarnagar
77.541739,29.960529,SRE,840.37,saharanpur
77.87417,29.851671,RK,780.44,roorkee
78.154899,29.947787,HW,902.63,haridwar jn
79.8900217,24.7969839,KURJ,705.04,khajuraho
78.395791,24.688222,LAR,549.19,lalitpur
75.7655019775,31.2175557498,PGW,702.73,phagwara jn
75.632106,31.306235,JRC,740.54,jalandhar cant
75.2908085,31.5193738,BEAS,811.27,beas
74.858025,31.631512,ASR,576.44,amritsar jn
86.69712126,24.51178242,DGHR,764.52,deoghar
86.106198,25.171504,KIUL,758.81,kiul jn
80.918587,26.831967,LJN,798.34,lucknow ne
83.381499,26.759311,GKP,670.83,gorakhpur jn
81.23932,26.232684,RBL,825.69,rae bareli jn
